team,division,coach_name,role,contact_method,contact_info,mutual_contact,first_touch_sent,bump_sent,reply,demo_date,demo_result,package_signed,status,notes
,U15,,,email,,,,,,,,,"not contacted",
,U13,,,dm,,,,,,,,,"not contacted",
,U11,,,email,,,,,,,,,"not contacted",
,U18,,,email,,,,,,,,,"not contacted",
,,,,,,,,,,,,,"not contacted",
,,,,,,,,,,,,,"not contacted",
,,,,,,,,,,,,,"not contacted",
,,,,,,,,,,,,,"not contacted",
,,,,,,,,,,,,,"not contacted",
,,,,,,,,,,,,,"not contacted",
,,,,,,,,,,,,,"not contacted",
,,,,,,,,,,,,,"not contacted",
,,,,,,,,,,,,,"not contacted",
,,,,,,,,,,,,,"not contacted",
,,,,,,,,,,,,,"not contacted",
